"";"en";"de";"pl";
"error_text";"When erasing the selected drive ERRORCOUNT errors were encountered.\n\nThis means that some of the data might be recoverable and the drive will not provide reliable storage anymore. You probably want to use the command ""dc3dd"" (from a terminal) to erase the drive, inspect its SMART log or physically destroy it.";"Während des Löschens traten ERRORCOUNT Fehler auf.\n\nDies bedeutet, dass Teile der gespeicherten Daten möglicherweise wiederhergestellt werden können und sich das ausgewählte Laufwerk nicht mehr für die zuverlässige Speicherung von Daten eignet. Sie können den Befehl ""dc3dd"" (im Terminal) verwenden, um das Laufwerk zu löschen, das SMART-Log einsehen oder das Laufwerk physikalisch zerstören.";"Podczas wymazywania wybranego napędu wystąpiły błędy ERRORCOUNT.\n\nTo oznacza, że niektóre dane mogą być możliwe do odzyskania i że wybrany napęd nie zapewni bezpiecznego przechowywania danych. Możesz użyć polecenia ""dc3dd"" (w terminalu), aby wyczyścić napęd, obejrzeć SMART-Log albo fizycznie go zniszczyć.";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"mounted_text";"The selected drive could not be unmounted. Please stop all programs that have access to the selected drive, unmount manually and try again.";"Die Einbindung des ausgewählten Laufwerkes konnte nicht gelöst werden. Beenden Sie alle Programme, die auf das Laufwerk zugreifen, lösen Sie die Einbindung manuell und versuchen Sie es erneut.";"Odmontowanie wybranego napędu nie powiodło się. Zakończ programy korzystające z napędu, odmontuj go ręcznie i spróbuj ponownie.";
"mounted_title";"Target is mounted!";"Laufwerk ist eingebunden!";"Napęd jest zamontowany!";
"remaining";"remaining";"verbleibend";"pozostało";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit dem Löschen zu beginnen";"Kliknij na ""Start"" aby rozpocząć kasowanie";
"starting";"Initializing...";"Initialisiere...";"inicjalizuj...";
"prepare_trim";"Preparing TRIM...";"Bereite TRIM vor...";"";
"trimming";"Running TRIM...";"TRIM wird durchgeführt...";"";
"trim_done";"TRIM done.";"TRIM abgeschlossen.";"";
"head";"Delte disk drive";"Festplatte löschen";"Kasuj dysk";
"frame_drive";"Drive to delete";"Zu löschendes Laufwerk";"Dysk do skasowania";
"frame_method";"Method used";"Löschmethode";"Metoda kasowania";
"frame_progress";"Progress of deletion";"Fortschritt der Löschung";"Postęp kasowania";
"go";"Start";"Starten";"Start";
"stop";"Stop";"Stop";"Stop";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"onerun";"Single run with zeroes (fast, sufficient on modern drives)";"Ein Durchlauf mit Nullen (schnell, meist ausreichend)";"Jeden cykl z zerami (szybkie, najczęściej wystarczające)";
"tworuns";"Two runs with random data (use this on very old drives)";"Zwei Durchläufe mit Zufallsdaten (auf alten Laufwerken verwenden)";"Dwa cykle przypadkowymi danymi (stosowac na starych napędach)";
"confirm_title";"Confirm deletion";"Löschen bestätigen";"Potwierdź kasowanie";
"confirm_text";"Do you really want to erase all data from the selected drive?";"Wollen Sie wirklich alle Daten auf dem ausgewählten Laufwerk löschen?";"Czy na pewno chcesz zniszczyć wszystkie dane na wybranym napędzie?";
"stop_title";"Confirm stop";"Abbrechen bestätigen";"Potwierdź przerwanie";
"stop_text";"The deletion is interrupted. If you stop the deletion, the data on the drive will be partially recoverable. Do you really want to stop and exit?";"Der Löschvorgang wurde angehalten. Wenn Sie das Löschen abbrechen, werden Teile der vor dem Löschen vorhandenen Daten wiederherstellbar sein. Wollen Sie den Löschvorgang abbrechen und das Programm beenden?";"Proces niszczenia danych został wstrzymany. Jeśli przerwiesz kasowanie, dane z dysku będzie można częściowo odzyskać. Czy chcesz przerwać proces kasowania i zakończyć program?";
"done_title";"Done!";"Fertig!";"Gotowe!";
"done_text";"The selected drive was successfully erased. Depending on number of reallocated sectors, small amounts of data might still be recoverable.";"Das ausgewählte Laufwerk wurde erfolgreich gelöscht. Je nach Anzahl realloziierter Sektoren können möglicherweise sehr geringe Mengen der ursprünglichen Daten wiederhergestellt werden.";"Wybrany napęd został pomyślnie wyczyszczony. W zależności od liczby przemieszczonych sektorów, małe ilości danych mogą być możliwe do odzyskania.";
"error_title";"Errors encountered!";"Fehler beim Löschen!";"Błąd przy kasowaniu!";
"error_text";"When erasing the selected drive ERRORCOUNT errors were encountered.\n\nThis means that some of the data might be recoverable and the drive will not provide reliable storage anymore. You probably want to use the command ""dc3dd"" (from a terminal) to erase the drive, inspect its SMART log or physically destroy it.";"Während des Löschens traten ERRORCOUNT Fehler auf.\n\nDies bedeutet, dass Teile der gespeicherten Daten möglicherweise wiederhergestellt werden können und sich das ausgewählte Laufwerk nicht mehr für die zuverlässige Speicherung von Daten eignet. Sie können den Befehl ""dc3dd"" (im Terminal) verwenden, um das Laufwerk zu löschen, das SMART-Log einsehen oder das Laufwerk physikalisch zerstören.";"Podczas wymazywania wybranego napędu wystąpiły błędy ERRORCOUNT.\n\nTo oznacza, że niektóre dane mogą być możliwe do odzyskania i że wybrany napęd nie zapewni bezpiecznego przechowywania danych. Możesz użyć polecenia ""dc3dd"" (w terminalu), aby wyczyścić napęd, obejrzeć SMART-Log albo fizycznie go zniszczyć.";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"mounted_text";"The selected drive could not be unmounted. Please stop all programs that have access to the selected drive, unmount manually and try again.";"Die Einbindung des ausgewählten Laufwerkes konnte nicht gelöst werden. Beenden Sie alle Programme, die auf das Laufwerk zugreifen, lösen Sie die Einbindung manuell und versuchen Sie es erneut.";"Odmontowanie wybranego napędu nie powiodło się. Zakończ programy korzystające z napędu, odmontuj go ręcznie i spróbuj ponownie.";
"mounted_title";"Target is mounted!";"Laufwerk ist eingebunden!";"Napęd jest zamontowany!";
"remaining";"remaining";"verbleibend";"pozostało";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit dem Löschen zu beginnen";"Kliknij na ""Start"" aby rozpocząć kasowanie";
"starting";"Initializing...";"Initialisiere...";"inicjalizuj...";
"prepare_trim";"Preparing TRIM...";"Bereite TRIM vor...";"";
"trimming";"Running TRIM...";"TRIM wird durchgeführt...";"";
"trim_done";"TRIM done.";"TRIM abgeschlossen.";"";
"head";"Delte disk drive";"Festplatte löschen";"Kasuj dysk";
"frame_drive";"Drive to delete";"Zu löschendes Laufwerk";"Dysk do skasowania";
"frame_method";"Method used";"Löschmethode";"Metoda kasowania";
"frame_progress";"Progress of deletion";"Fortschritt der Löschung";"Postęp kasowania";
"go";"Start";"Starten";"Start";
"stop";"Stop";"Stop";"Stop";
"reread";"Reread";"Neu einlesen";"Wczytaj ponownie";
"onerun";"Single run with zeroes (fast, sufficient on modern drives)";"Ein Durchlauf mit Nullen (schnell, meist ausreichend)";"Jeden cykl z zerami (szybkie, najczęściej wystarczające)";
"tworuns";"Two runs with random data (use this on very old drives)";"Zwei Durchläufe mit Zufallsdaten (auf alten Laufwerken verwenden)";"Dwa cykle przypadkowymi danymi (stosowac na starych napędach)";
"confirm_title";"Confirm deletion";"Löschen bestätigen";"Potwierdź kasowanie";
"confirm_text";"Do you really want to erase all data from the selected drive?";"Wollen Sie wirklich alle Daten auf dem ausgewählten Laufwerk löschen?";"Czy na pewno chcesz zniszczyć wszystkie dane na wybranym napędzie?";
"stop_title";"Confirm stop";"Abbrechen bestätigen";"Potwierdź przerwanie";
"stop_text";"The deletion is interrupted. If you stop the deletion, the data on the drive will be partially recoverable. Do you really want to stop and exit?";"Der Löschvorgang wurde angehalten. Wenn Sie das Löschen abbrechen, werden Teile der vor dem Löschen vorhandenen Daten wiederherstellbar sein. Wollen Sie den Löschvorgang abbrechen und das Programm beenden?";"Proces niszczenia danych został wstrzymany. Jeśli przerwiesz kasowanie, dane z dysku będzie można częściowo odzyskać. Czy chcesz przerwać proces kasowania i zakończyć program?";
"done_title";"Done!";"Fertig!";"Gotowe!";
"done_text";"The selected drive was successfully erased. Depending on number of reallocated sectors, small amounts of data might still be recoverable.";"Das ausgewählte Laufwerk wurde erfolgreich gelöscht. Je nach Anzahl realloziierter Sektoren können möglicherweise sehr geringe Mengen der ursprünglichen Daten wiederhergestellt werden.";"Wybrany napęd został pomyślnie wyczyszczony. W zależności od liczby przemieszczonych sektorów, małe ilości danych mogą być możliwe do odzyskania.";
"error_title";"Errors encountered!";"Fehler beim Löschen!";"Błąd przy kasowaniu!";
"error_text";"When erasing the selected drive ERRORCOUNT errors were encountered.\n\nThis means that some of the data might be recoverable and the drive will not provide reliable storage anymore. You probably want to use the command ""dc3dd"" (from a terminal) to erase the drive, inspect its SMART log or physically destroy it.";"Während des Löschens traten ERRORCOUNT Fehler auf.\n\nDies bedeutet, dass Teile der gespeicherten Daten möglicherweise wiederhergestellt werden können und sich das ausgewählte Laufwerk nicht mehr für die zuverlässige Speicherung von Daten eignet. Sie können den Befehl ""dc3dd"" (im Terminal) verwenden, um das Laufwerk zu löschen, das SMART-Log einsehen oder das Laufwerk physikalisch zerstören.";"Podczas wymazywania wybranego napędu wystąpiły błędy ERRORCOUNT.\n\nTo oznacza, że niektóre dane mogą być możliwe do odzyskania i że wybrany napęd nie zapewni bezpiecznego przechowywania danych. Możesz użyć polecenia ""dc3dd"" (w terminalu), aby wyczyścić napęd, obejrzeć SMART-Log albo fizycznie go zniszczyć.";
"partition";"Partition";"Partition";"Partycja";
"disk";"Full disk";"Gesamte Festplatte";"Cały dysk";
"mounted_text";"The selected drive could not be unmounted. Please stop all programs that have access to the selected drive, unmount manually and try again.";"Die Einbindung des ausgewählten Laufwerkes konnte nicht gelöst werden. Beenden Sie alle Programme, die auf das Laufwerk zugreifen, lösen Sie die Einbindung manuell und versuchen Sie es erneut.";"Odmontowanie wybranego napędu nie powiodło się. Zakończ programy korzystające z napędu, odmontuj go ręcznie i spróbuj ponownie.";
"mounted_title";"Target is mounted!";"Laufwerk ist eingebunden!";"Napęd jest zamontowany!";
"remaining";"remaining";"verbleibend";"pozostało";
"click_start";"Click ""Start"" to begin";"Klicken Sie auf ""Start"" um mit dem Löschen zu beginnen";"Kliknij na ""Start"" aby rozpocząć kasowanie";
"starting";"Initializing...";"Initialisiere...";"inicjalizuj...";
